"date","time","session","title","topics","paper.1","paper.2","paper.3","paper.4","paper.5","paper.6","organizer","chair","discussants","panelist","moderator","paper"
"11/18/2023","8:00 AM-9:45 AM","1.A.01","Pedagogy for Microeconomics","Teaching","
Interactives to Teach Intermediate Microeconomics
Simon Halliday*, University of Bristol","Linking Interactive Demand Exercises across the Semester
Stephen Erfle*, Dickinson College","Crime, Inequality, and Dating: Cohesive Themes in Principles of Microeconomics
Melissa K. Spencer*, University of Richmond
Erik Craft, University of Richmond
Maia Linask, University of Richmond","Learning by Experimenting: An Introduction Course to Experimental Economics
Julien Picault*, The University of British Columbia","","","Simon Halliday, University of Bristol","Michael Enz, Virginia Polytechnic Institute and State University","Eren Bilen, Dickinson College
Alan Green, Stetson University
Sylvia Kuo, Brown University
Michael Enz, Virginia Polytechnic Institute and State University","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.02","Structural Microeconomics: Race","Metrics, Race","
Job Search and Matching by Race and Gender
Rebecca Lessem*, Carnegie Mellon University
Robert Miller, Carnegie Mellon University","The Effect of Peremptory Challenge Reform on Minority Jury Representation and Trial Outcomes
Andrea Moro*, Vanderbilt University","Evolution and Welfare Implications of Racial Sorting in the U.S. Marriage Market
Yu Kyung Koh*, McGill University","","","","Pengpeng Xiao, Duke University","Rebecca Lessem, Carnegie Mellon University","Hoyoung Yoo, University of Wisconsin–Madison
Soumitra Shukla, Federal Reserve Board of Governors
Gabrielle Vasey, Concordia University","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.03","Theory: Information I","Theory","
Optimal Persuasion with Sequential Private Information
Huiyi Guo*, Texas A&M University","The Behavioral Foundations of Model Misspecification: A Decomposition
Daniel N. Hauser*, Aalto University","Optimal Stopping and Reputation
Sara Shahanaghi*, Toulouse School of Economics","Privacy-Preserving Signals
Kai Hao Yang*, Yale University","","","Fei Li, The University of North Carolina at Chapel Hill","Kai Hao Yang, Yale University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.04","Crime and Policing: Officer Conduct","Law & Econ","
To Whom Does the Second Amendment Apply? Experimental Evidence of Law Enforcement's Impact on Equitable Access to Firearms
Garrett Stanford*, University of Oregon
Tami Ren, University of Oregon","Officer Misconduct, Arrest Types, and Court Outcomes
Nayoung Rim*, United States Naval Academy
Bocar Ba, Duke University
Roman Rivera, Columbia University","Are Court-Appointed Attorneys Racially Biased?
Maya Mikdash*, Texas A&M University","Officer-Involved: The Media Language of Police Killings
Jon Moreno Medina*, The University of Texas at San Antonio
Bocar Ba, Duke University
Aurelie Ouss, University of Pennsylvania
Pat Bayer, Duke University","","","Jennifer L. Doleac, Texas A&M University","Katie Bollman, Oregon State University","Lauren Schechter, Social Science Research Council
Alexander C. Marsella, Barry College
Aria Golestani, Northeastern University
CarlyWill Sloan, United States Military Academy","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.05","Political Economy and Comparative Development","Development, Public","
The Rise of the Religious Right: Evidence from the Moral Majority and the Jimmy Carter Presidency
Brian Knight*, Brown University
Giulia Buccione, Brown University","Television and the Politics of Canadian Broadcasting
Andrew Dickens*, Brock University
Mathias Bühler, Ludwig Maximilian University of Munich","The Voting and Redistributive Effects of Felon Enfranchisement
Mercedes Ponce de Leon*, Brown University","Follow the Political Network: Poverty Alleviation as Strategic Corporate Social Responsibility in China
Zeli Ying*, University of Science and Technology of China
Xiao Wang, University of Science and Technology of China","","","Ömer Özak, Southern Methodist University","Brian Knight, Brown University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.06","Abortion and Contraception and Economic Outcomes","Health","
The Consequences of Abortion Restrictions for Intimate Partner Violence
Christine Durrance*, University of Wisconsin–Madison
Yang Wang, La Follette School of Public Affairs
Barbara Wolfe, University of Wisconsin–Madison","Effects of Expanding Long-Acting Reversible Contraceptive Access: New Evidence from Virginia's Contraceptive Access Initiative
Jessica Kiser*, Vanderbilt University
Analisa Packham, Vanderbilt University ","Simulated Power Analyses for Post-Dobbs Fertility Rates Using Pre-Dobbs Fertility Data
Mayra Pineda-Torres*, Georgia Institute of Technology
Daniel Dench, Georgia Institute of Technology","","","","Kasey Buckles, University of Notre Dame, and Melanie Guldi, University of Central Florida","Katherine Yewell, Florida State University","Bilge Erten, Northeastern University
Lucie Schmidt, Smith College
Mayra Pineda-Torres, Georgia Institute of Technology","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.07","Education I","Education","
Education and Female Labor Force Participation in Latin America
John Edwards*, Tulane University","Are Teacher Demographics and Training Matched with Student Needs? Evidence from Small Districts and Charter Schools in Michigan
Jane Lincove*, University of Maryland, Baltimore County
Alex Handler, University of Maryland, Baltimore County
Salem Rogers, Michigan State University
Tara Kilbride, Michigan State University
Katharine Strunk, Michigan State University","The Impact of STEM Teacher Scholarship on Local Teacher Shortage and Student Outcomes
Li Feng*, Texas State University
Michael Hansen, The Brookings Institution
David Kuma, Florida Atlantic University","","","","Kathy Hayes, Southern Methodist University","Kathy Hayes, Southern Methodist University","Catherine Mata, Brown University
Matthew Steinberg, George Mason University
Lori Taylor, Texas A&M University","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.08","Applied Labor Economics I","Labor","
Bullying, Negative Social Comparisons, and Adolescent Mental Health
Brandyn Churchill*, University of Massachusetts Amherst
Bijesh Gyawali, University of Massachusetts Amherst
Joseph Sabia, San Diego State University","Unemployment Insurance and the Deaths of Despair
Isaac Swensen*, Montana State University
Andrew Hill, Montana State University
Krishna Regmi, Florida Gulf Coast University","Punishing Financial Crimes: The Impact of Prison Sentences on Defendants and Their Colleagues
Emily Nix*, University of Southern California
Kristiina Huttunun, Aalto University
Martti Kaila, University of Glasgow
David Macdonald, Aalto University","Specific Skills and Postsecondary Outcomes for Dual Language Learnings and Immigrants
Coral Flanagan*, Vanderbilt University
Shaun M. Dougherty, Boston College
Julian Hayes, Harvard University","College Admissions Testing and Learning about Ability: Evidence from Strategic ACT and SAT Taking
Hema Shah*, Duke University","","Orgul Ozturk, University of South Carolina, and Michael Stephens Kofoed, The University of Tennessee, Knoxville","Michael Stephens Kofoed, The University of Tennessee, Knoxville","Jessica Brown, University of South Carolina
Melanie Zaber, RAND Corporation
Richard Patterson, Brigham Young University
Orgul Ozturk, University of South Carolina","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.09","Maternal and Child Health","Health, Household","
How Severe Mobility Restrictions during the COVID-19 Pandemic Impacted Institutional Delivery-Related Out-of-Pocket Expenditure? Evidence from India
Preshit Ambade*, Augusta University
Biplab Datta, Augusta University
Neil MacKinnon, Augusta University","Role of Spousal Age Difference on Adolescent Childbearing in Women Married as Children in South Asia
Ishtiaque Fazlul*, University of Georgia
Biplab Datta, Augusta University
Mohammad Rifat Haider, University of Georgia","Long-Term Impact of Abortion Legalization on Maternal and Child Health in the United States
Sherajum Monira Farin*, Georgia State University","","","","Sherajum Monira Farin, Georgia State University","Sherajum Monira Farin, Georgia State University, and Biplab Datta, Augusta University","Preshit Ambade, Augusta University
Ishtiaque Fazlul, University of Georgia
Sherajum Monira Farin, Georgia State University
Biplab Datta, Augusta University","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.10","Causal Inference and Machine Learning","Metrics","
Effect or Treatment Heterogeneity? Policy Evaluation with Aggregated and Disaggregated Treatments
Phillip Heller*, Aarhus University
Michael C. Knaus, University of Tübingen","Binary Choice with Asymmetric Loss in a Data-Rich Environment: Theory and an Application to Racial Justice
Andrii Babii*, University of North Carolina Chapel Hill
Xi Chen, The University of North Carolina at Chapel Hill
Eric Ghysels, The University of North Carolina at Chapel Hill
Rohit Kumar, Indian Statistical Institute, Delhi Center","Adversarial Method of Moments
Elena Manresa*, New York University
Ignacio Cigliutti, New York University","Double and Single Descent in Causal Inference with an Application to High-Dimensional Synthetic Control
Jann Spiess*, Stanford University
Guido Imbens, Stanford University
Amar Venugopal, Stanford University","","","Pedro Sant'Anna, Emory University, Yuya Sasaki, Vanderbilt University, and Tymon Sloczynski, Brandeis University","Pedro Sant'Anna, Emory University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.11","Networks and Trade","Trade","
Heterogeneous Effects of Air Connectivity on Trade
Tingting Peng*, State University of New York at Albany
Chun-Yu Ho, State University of New York at Albany
Haruka Takayama, State University of New York at Albany
Li Xu, Shanghai Jiao Tong University","Processing Exporter Performance and the Role of Foreign Ownership: Evidence from Vietnamese Firm-Level Data
Sooyoung Lee*, Hobart and William Smith Colleges
Hea-Jung Hyun, Kyung Hee University","Retrievability, Productivity, and Firm Boundary Decisions
Mengxiao (Michelle) Liu*, Lehigh University","Estimating a Dynamic Network Model with Degree Heterogeneity: Application to International Trade Network
Xiao Wang*, University of Science and Technology of China
Yapeng Zheng, University of Science and Technology of China
Bo Zhang, University of Science and Technology of China","","","Maia Linask, University of Richmond","Thomas B. Zylkin, University of Richmond","","","",""
